first_name,last_name,email,address,city,state,zip,phone,itemtype
Kati,Canelas,kcanelas0@purevolume.com,819 Bonner Point,Rockville,Maryland,20851,240-125-6364,customer
Mic,Grimwade,mgrimwade1@goodreads.com,4001 Summit Place,Dulles,Virginia,20189,571-520-3184,customer
Lowe,Presidey,lpresidey2@qq.com,61326 Westridge Street,Atlanta,Georgia,30356,404-868-2035,customer
Augustine,Birdwhistell,abirdwhistell3@twitpic.com,9 Swallow Terrace,Peoria,Illinois,61635,309-847-7177,customer
Judon,Maro,jmaro4@stanford.edu,700 Arizona Center,Charleston,West Virginia,25321,304-494-0092,customer
Bjorn,Browell,bbrowell5@businesswire.com,34066 Pepper Wood Center,Atlanta,Georgia,30386,404-881-7095,customer
Daron,Duffin,dduffin6@discovery.com,47 Monument Drive,San Francisco,California,94147,415-925-2117,customer
Dall,McKean,dmckean7@wikimedia.org,4 Bluejay Court,Reading,Pennsylvania,19610,484-450-3093,customer
Pip,Petteford,ppetteford8@yale.edu,36 Brown Trail,Arlington,Texas,76011,817-939-1724,customer
Case,O'Neill,coneill9@51.la,5 Gale Place,Dallas,Texas,75236,469-635-8973,customer
Brennen,Sharrier,bsharriera@skyrock.com,59792 Homewood Center,Spokane,Washington,99210,509-575-7393,customer
Devinne,Adamkiewicz,dadamkiewiczb@princeton.edu,081 Bashford Crossing,Sparks,Nevada,89436,775-990-9967,customer
Richy,Allmond,rallmondc@vk.com,297 Johnson Terrace,Rochester,New York,14619,585-390-0045,customer
Ailene,Hyam,ahyamd@1und1.de,901 Chive Way,Rochester,New York,14619,585-267-3898,customer
Marsha,Margaret,mmargarete@dropbox.com,424 Hollow Ridge Point,Honolulu,Hawaii,96805,808-206-9645,customer
Felipe,Blakeman,fblakemanf@discovery.com,10121 Declaration Road,Aurora,Colorado,80015,720-614-6002,customer
Quinn,Dennes,qdennesg@cafepress.com,5262 Pankratz Point,Danbury,Connecticut,06816,203-798-0556,customer
Adriano,Snelgar,asnelgarh@tinyurl.com,1848 Luster Crossing,Albany,New York,12210,518-591-0409,customer
Verene,Tudhope,vtudhopei@infoseek.co.jp,44991 Pine View Court,Buffalo,New York,14233,716-812-0888,customer
Honor,Wolvey,hwolveyj@plala.or.jp,01542 Old Gate Court,Paterson,New Jersey,07522,201-201-5185,customer
Minerva,Coltart,mcoltartk@joomla.org,4 Delladonna Place,Lake Charles,Louisiana,70616,337-577-3731,customer
Chelsea,Whisby,cwhisbyl@ovh.net,05895 Florence Way,Nashville,Tennessee,37210,615-761-1896,customer
Alfons,Cooley,acooleym@ted.com,7 Continental Way,Los Angeles,California,90050,213-464-5928,customer
Nikola,Gasker,ngaskern@ucsd.edu,99 Cordelia Way,Newark,New Jersey,07112,201-671-7278,customer
Artus,Guyver,aguyvero@blinklist.com,140 Spenser Way,Kansas City,Kansas,66112,816-363-3848,customer
Bethena,Ivanishchev,bivanishchevp@blogger.com,64 Garrison Crossing,Mesquite,Texas,75185,972-562-6069,customer
Waylin,Jagiello,wjagielloq@facebook.com,1 Clyde Gallagher Junction,Saint Paul,Minnesota,55123,952-694-7001,customer
Natale,Trimmell,ntrimmellr@columbia.edu,3 Commercial Point,Green Bay,Wisconsin,54305,920-314-1961,customer
Orlan,Kliner,okliners@sun.com,76037 Manitowish Park,Sioux City,Iowa,51110,712-930-2419,customer
Brita,Abdee,babdeet@ucla.edu,37 Mallory Park,Washington,District of Columbia,20231,202-643-5096,customer
Clyde,Ravilus,cravilusu@dot.gov,09548 Warrior Hill,Trenton,New Jersey,08619,609-394-5889,customer
Gabbey,Canadas,gcanadasv@shinystat.com,60376 Anniversary Avenue,New York City,New York,10292,212-550-6468,customer
Sonja,Skough,sskoughw@creativecommons.org,6 Becker Center,Mesa,Arizona,85215,602-925-5525,customer
Annabella,Cheasman,acheasmanx@mac.com,7 Bayside Junction,Sparks,Nevada,89436,775-381-2085,customer
Shaylyn,Dallemore,sdallemorey@lulu.com,465 Fair Oaks Court,Boulder,Colorado,80310,303-682-6247,customer
Kore,Neubigging,kneubiggingz@chicagotribune.com,0011 Hoepker Parkway,San Antonio,Texas,78205,210-833-0452,customer
Stacia,Wessel,swessel10@nsw.gov.au,397 Forest Place,Dallas,Texas,75260,214-442-2924,customer
Chalmers,Dray,cdray11@github.com,662 Hansons Crossing,El Paso,Texas,79905,915-831-5262,customer
Marget,Kenna,mkenna12@salon.com,566 Claremont Crossing,New York City,New York,10034,212-319-9385,customer
Ximenes,Farrer,xfarrer13@1688.com,91 Gina Lane,Pittsburgh,Pennsylvania,15210,412-668-0701,customer
Gloriana,Farmloe,gfarmloe14@ucsd.edu,0 Cherokee Plaza,Shreveport,Louisiana,71166,318-784-9021,customer
Joell,Gary,jgary15@state.tx.us,02 6th Place,Jacksonville,Florida,32277,904-828-0552,customer
